,회사명,채용정보,채용링크,요구경력,요구학벌,직장위치,지원종료일
92,루나랩스㈜,"영상인식 개발자 모집(OpenCV, Linux, C/C++가능자)",http://www.jobkorea.co.kr//Recruit/GI_Read/30501967?Oem_Code=C1&logpath=1,경력무관,초대졸↑,서울 성북구,~12/18(수)
93,주식회사 트윔,"(주)트윔 개발자(경력)모집 : 빅데이터,영상처리,머신비전/딥러닝",http://www.jobkorea.co.kr//Recruit/GI_Read/30479297?Oem_Code=C1&logpath=1,경력3년↑,학력무관,경기 화성시,~01/05(일)
94,주식회사 트윔,"[경력]빅데이터,영상처리,머신비전/딥러닝 (강남근무)",http://www.jobkorea.co.kr//Recruit/GI_Read/30479279?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 강남구 외,~01/05(일)
95,번개장터㈜,데이터팀 Data Scientist (데이터 과학자) 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30471208?Oem_Code=C1&logpath=1,경력4년↑,대졸↑,서울 서초구,~01/08(수)
96,㈜레티그리드,IoT 플랫폼 백엔드 및 서버개발자 모집 (경력 2년 이상),http://www.jobkorea.co.kr//Recruit/GI_Read/30469983?Oem_Code=C1&logpath=1,경력2년↑,학력무관,서울 송파구,~01/08(수)
97,㈜로킷헬스케어,IT 경력 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30468387?Oem_Code=C1&logpath=1,경력2년↑,대졸↑,서울 금천구,~01/07(화)
98,㈜아이서티,"경력직 채용(빅데이터, AI. 대전시 근무)",http://www.jobkorea.co.kr//Recruit/GI_Read/30439151?Oem_Code=C1&logpath=1,경력,석사↑,대전 전지역 외,~01/03(금)
99,㈜무한정보기술,각 분야별 신입 및 경력사원 모집 (GIS / DB구축 / AI / 웹시스템개발),http://www.jobkorea.co.kr//Recruit/GI_Read/30438071?Oem_Code=C1&logpath=1,신입·경력,학력무관,서울 영등포구,~01/03(금)
100,서울아산병원 진다방사선과,서울아산병원 의료영상지능실현연구실 채용공고(개발팀),http://www.jobkorea.co.kr//Recruit/GI_Read/30433336?Oem_Code=C1&logpath=1,신입·경력,대졸↑,서울 송파구,~01/03(금)
101,서울아산병원 진다방사선과,서울아산병원 의료영상지능실현연구실 데이터분석팀 연구원 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30433049?Oem_Code=C1&logpath=1,신입·경력,대졸↑,서울 송파구,~01/03(금)
102,㈜케이씨넷,빅데이터 분석가 및 개발자 경력직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30430370?Oem_Code=C1&logpath=1,경력2년↑,대졸↑,대전 전지역 외,~12/19(목)
103,㈜유원지리정보시스템,"자율주행 지원 소프트웨어 개발 (ADAS, 영상처리/인식, 딥러닝, 정밀지도)",http://www.jobkorea.co.kr//Recruit/GI_Read/30425077?Oem_Code=C1&logpath=1,경력3년↑,초대졸↑,경기 의왕시,~12/31(화)
104,㈜파워엔지니어링,증강현실(AR) 및 머신비전  경력사원 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30423813?Oem_Code=C1&logpath=1,경력2년↑,학력무관,경기 성남시,~02/01(토)
105,에이치앤씨파트너스,Big Data 분석 경력직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30417487?Oem_Code=C1&logpath=1,경력2년↑,석사↑,경기 성남시,~01/02(목)
106,에이치앤씨파트너스,AI분야 (AI 영상인식 / AI 자연어처리),http://www.jobkorea.co.kr//Recruit/GI_Read/30417485?Oem_Code=C1&logpath=1,경력2년↑,석사↑,경기 성남시,~01/02(목)
107,메디리타,인공지능 S/W 개발자 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30370933?Oem_Code=C1&logpath=1,경력2년↑,학력무관,서울 구로구 외,~12/27(금)
108,㈜머니브레인,"[인공지능 기업] 머신러닝 엔지니어, 딥러닝 엔지니어 경력 모집",http://www.jobkorea.co.kr//Recruit/GI_Read/30353636?Oem_Code=C1&logpath=1,경력3년↑,석사↑,서울 강남구 외,~12/16(월)
109,㈜자이냅스,Software Engineer - Frontend / Backend,http://www.jobkorea.co.kr//Recruit/GI_Read/30349833?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 강남구,~12/25(수)
110,데이터플로,인공지능 / 빅데이터 분석 채용 / 데이터 사이언티스트,http://www.jobkorea.co.kr//Recruit/GI_Read/30336453?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 강남구 외,~01/22(수)
111,㈜보인정보기술,분석연구팀 신입 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30335054?Oem_Code=C1&logpath=1,신입,대졸↑,서울 서초구,~12/23(월)
112,Nextbeat,[도쿄근무 일본기업] AI개발엔지니어 모집 / 5개직종 동시모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30332591?Oem_Code=C1&logpath=1,경력1년↑,초대졸↑,일본 도쿄 외,~12/22(일)
113,오드컨셉㈜,Python 개발자 - 3년차 이상,http://www.jobkorea.co.kr//Recruit/GI_Read/30332192?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 강남구,~12/22(일)
114,에이치앤씨파트너스,FPGA 엔지니어 경력직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30330506?Oem_Code=C1&logpath=1,경력4년↑,대졸↑,경기 안양시,~12/22(일)
115,그렉터,"IoT SW개발자, 데이터사업본부 팀원 채용합니다",http://www.jobkorea.co.kr//Recruit/GI_Read/30314261?Oem_Code=C1&logpath=1,경력2년↑,대졸↑,서울 송파구,상시채용
116,㈜머니브레인,"[인공지능 기업]머신러닝 엔지니어, 딥러닝 엔지니어 모집",http://www.jobkorea.co.kr//Recruit/GI_Read/30308793?Oem_Code=C1&logpath=1,경력3년↑,석사↑,서울 강남구,~12/20(금)
117,㈜에프피에이,(주)에프피에이 기술연구소 정규직 채용 건,http://www.jobkorea.co.kr//Recruit/GI_Read/30299001?Oem_Code=C1&logpath=1,경력1년↑,학력무관,경기 화성시,~12/19(목)
118,오드컨셉㈜,Machine Learning Engineer/Researcher(머신러닝 엔지니어/연구원) - 3년차 이상,http://www.jobkorea.co.kr//Recruit/GI_Read/30285962?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 강남구,~12/18(수)
119,㈜뉴냅스,"[서울아산병원 연구중심병원 육성과제] 인공지능 연구개발 담당자 (신입, 경력)",http://www.jobkorea.co.kr//Recruit/GI_Read/30279032?Oem_Code=C1&logpath=1,신입·경력1년↑,초대졸↑,서울 송파구,~12/18(수)
120,대기업,"AI, Big Data 개발 (Smart Factory)",http://www.jobkorea.co.kr//Recruit/GI_Read/30532823?PageGbn=HH&logpath=1,경력4년↑,박사↑,전남 광양시,~01/14(화)
