,0,1,2,3,4
78,散布,['[ sànbù ]'],"['散', '布']","['#/entry/zhko/167e6453d8f34c31a7db8be429a7905f', '#/entry/zhko/6811d0f7e94144fd8811839bba3062d8']",1.흩어지다   2.퍼뜨리다   3.살포
79,废除,['[ fèichú ]'],"['废', '除']","['#/entry/zhko/a7d694adc5fb470987267bfc0ab84bfd', '#/entry/zhko/ff7419492faf45c9b0e070fd0ac91df3']",1.취소하다   2.폐지하다   3.폐기하다
80,出神,['[ chū//shén ]'],"['出', '神']","['#/entry/zhko/9defe05cf7274a7284af5309471583d3', '#/entry/zhko/de3c274e10ac4c0e81fd576372bdf393']",1.어떤 일에 너무 정신을 집중해서 표정이 멍청해지다   2.정신이 나가다
81,应邀,['[ yìngyāo ]'],"['应', '邀']","['#/entry/zhko/d10f30c225ca4d908788047f0221cd6f', '#/entry/zhko/9659cab298a3474a876757538611ce51']",
82,和,['[ bǎohé ]'],['和'],['#/entry/zhko/d031fbb41e1b4725845a70349a1b4fb3'],1.포화   2.최대한도에 이르다   3.잔뜩 함유하다
83,未来,['[ wèilái ]'],"['未', '来']","['#/entry/zhko/6e555d438f164fa8a54d3e488bcc0cff', '#/entry/zhko/f58c7f65ac2242b491268f4a4b6a831d']",1.멀지 않은 장래   2.조만간   3.미래
84,样子,['[ yàng‧zi ]'],"['样', '子']","['#/entry/zhko/3cac805687e8427db1294f945292b4dd', '#/entry/zhko/afc0a77247e74dfcb69171bfffd2bc5a']",1.모양   2.태도   3.견본   4.형세
85,针对,['[ zhēnduì ]'],"['针', '对']","['#/entry/zhko/92a345fecd2a4ddbb35a6fa7739119bc', '#/entry/zhko/cc44d0a3a30c42a997f517ffe64586e5']",1.겨누다   2.견주다   3.대하다   4.맞추다
86,赤道,['[ chìdào ]'],"['赤', '道']","['#/entry/zhko/8064c6df184f43e6af65d8b6533f56a1', '#/entry/zhko/2542366336044a2f810c8fd2d69b7859']",
87,尤其,['[ yóuqí ]'],"['尤', '其']","['#/entry/zhko/5ddd60afe7c141bba37ec3b571bca0d0', '#/entry/zhko/b85fb7bbe65b42be8230820591cf75ac']",1.특히   2.더욱
88,合成,['[ héchéng ]'],"['合', '成']","['#/entry/zhko/61727e18099d4647984e17b3dc242dfa', '#/entry/zhko/9e2e167d35e84052b0c22382b414d197']",1.합성하다   2.합쳐 …가 되다   3.합쳐 이루어지다   4.합성
89,团结,['[ tuánjié ]'],"['团', '结']","['#/entry/zhko/532a57b9bae542a08ce7b627bb20a914', '#/entry/zhko/2d6f7691759440249db8129cac7bb891']",1.단결   2.연대   3.화목하다   4.사이가 좋다
